EA_CD,SBRB_NM
19913259,MALIBU VILLAGE
19913803,MALIBU VILLAGE
19913161,MALIBU VILLAGE
19913804,MALIBU VILLAGE
19913809,MALIBU VILLAGE
19913813,MALIBU VILLAGE
19913252,MALIBU VILLAGE
19913805,MALIBU VILLAGE
19913814,MALIBU VILLAGE
19913255,MALIBU VILLAGE
19913256,TUSCANY GLEN
19913257,TUSCANY GLEN
19913254,TUSCANY GLEN
19912686,VICTORIA MXENGE
19912137,VICTORIA MXENGE
19912666,VICTORIA MXENGE
19912633,VICTORIA MXENGE
19912142,VICTORIA MXENGE
19912139,VICTORIA MXENGE
19912690,VICTORIA MXENGE
19912851,VICTORIA MXENGE
19911834,VICTORIA MXENGE
19912612,VICTORIA MXENGE
19912617,VICTORIA MXENGE
19912847,VICTORIA MXENGE
19912850,VICTORIA MXENGE
19912614,VICTORIA MXENGE
19912604,VICTORIA MXENGE
19912138,VICTORIA MXENGE
19912136,VICTORIA MXENGE
19912637,VICTORIA MXENGE
19912607,VICTORIA MXENGE
19912849,VICTORIA MXENGE
19912134,VICTORIA MXENGE
19911832,VICTORIA MXENGE
19912605,VICTORIA MXENGE
19912669,VICTORIA MXENGE
19912670,VICTORIA MXENGE
19912842,VICTORIA MXENGE
19912606,VICTORIA MXENGE
19912615,VICTORIA MXENGE
19912609,VICTORIA MXENGE
19912144,VICTORIA MXENGE
19912672,VICTORIA MXENGE
19912639,VICTORIA MXENGE
19912610,VICTORIA MXENGE
19912145,VICTORIA MXENGE
19912841,VICTORIA MXENGE
19912636,VICTORIA MXENGE
19912611,VICTORIA MXENGE
19912634,VICTORIA MXENGE
19912135,VICTORIA MXENGE
19912616,VICTORIA MXENGE
19912844,VICTORIA MXENGE
19911835,VICTORIA MXENGE
19912933,VICTORIA MXENGE
19912140,VICTORIA MXENGE
19912664,VICTORIA MXENGE
19912143,VICTORIA MXENGE
19912843,VICTORIA MXENGE
19912684,VICTORIA MXENGE
19912846,VICTORIA MXENGE
19912671,VICTORIA MXENGE
19912688,VICTORIA MXENGE
19912845,VICTORIA MXENGE
19912689,VICTORIA MXENGE
19912635,VICTORIA MXENGE
19912667,VICTORIA MXENGE
19912673,VICTORIA MXENGE
19910448,SUN VALLEY
19910451,SUN VALLEY
19910427,SUN VALLEY
19910906,THORNTON
19910898,THORNTON
19910899,THORNTON
19910900,THORNTON
19910909,THORNTON
19910902,THORNTON
19915243,SONKRING
19916320,PROTEA PARK - WESFLEUR
19916403,PROTEA PARK - WESFLEUR
19916321,PROTEA PARK - WESFLEUR
19916402,PROTEA PARK - WESFLEUR
19913187,SUNBIRD PARK
19913186,SUNBIRD PARK
19914278,THE CONIFERS
19913162,THE CONIFERS
19913261,THE CONIFERS
19910934,WINGFIELD
19915381,WINDERMERE
19915383,WINDERMERE
19910929,WINDERMERE
19915382,WINDERMERE
19915439,WINDERMERE
19914950,BO-KAAP
19914951,BO-KAAP
19910237,HELDERBERG PARK
19913263,GREENFIELDS
19913266,GREENFIELDS
19914171,DELFT 3
19911501,SILVERTOWN - KHAYELITSHA
19911507,SILVERTOWN - KHAYELITSHA
19911512,SILVERTOWN - KHAYELITSHA
19911498,SILVERTOWN - KHAYELITSHA
19911515,SILVERTOWN - KHAYELITSHA
19911539,SILVERTOWN - KHAYELITSHA
19911510,SILVERTOWN - KHAYELITSHA
19911497,SILVERTOWN - KHAYELITSHA
19911530,SILVERTOWN - KHAYELITSHA
19911527,SILVERTOWN - KHAYELITSHA
19911494,SILVERTOWN - KHAYELITSHA
19911524,SILVERTOWN - KHAYELITSHA
19911526,SILVERTOWN - KHAYELITSHA
19911499,SILVERTOWN - KHAYELITSHA
19911500,SILVERTOWN - KHAYELITSHA
19912656,EERSTERIVIER
19912655,EERSTERIVIER
19912873,EERSTERIVIER
19913573,EERSTERIVIER
19912863,EERSTERIVIER
19912864,EERSTERIVIER
19912652,EERSTERIVIER
19912660,EERSTERIVIER
19912874,EERSTERIVIER
19912653,EERSTERIVIER
19912876,EERSTERIVIER
19912871,EERSTERIVIER
19912875,EERSTERIVIER
19912878,EERSTERIVIER
19912899,EERSTERIVIER
19912650,EERSTERIVIER
19913040,EERSTERIVIER
19912880,EERSTERIVIER
19912879,EERSTERIVIER
19912659,EERSTERIVIER
19913039,EERSTERIVIER
19912654,EERSTERIVIER
19912877,EERSTERIVIER
19912872,EERSTERIVIER
19912868,EERSTERIVIER
19912869,EERSTERIVIER
19912870,EERSTERIVIER
19912658,EERSTERIVIER
19912867,EERSTERIVIER
19912881,EERSTERIVIER
19911773,GOOD HOPE
19911775,GOOD HOPE
19911774,GOOD HOPE
19911776,GOOD HOPE
19913293,PHILIPPI PARK
19913294,PHILIPPI PARK
19913287,PHILIPPI PARK
19913283,PHILIPPI PARK
19914295,KUILSRIVIER INDUSTRIA
19915656,FERNDALE
19913943,FERNDALE
19915170,GOODRAIL
19912455,ELSIES RIVER INDUSTRIA
19912157,WESTGATE
19912158,WESTGATE
19912156,WESTGATE
19911168,WESTGATE
19911167,WESTGATE
19911148,WESTGATE
19915238,KAAPSIG
19913657,LANGA
19913670,LANGA
19914707,LANGA
19914439,LANGA
19913689,LANGA
19913669,LANGA
19914676,LANGA
19913699,LANGA
19913681,LANGA
